Begin Time (s),End Time (s),Common Name,Confidence,3997 Begin File
3,6,Pine Warbler,0.8139,   1 PAM10_20230329_181000.wav
33,36,Northern Cardinal,0.2673,   1 PAM10_20230329_181000.wav
36,39,Painted Bunting,0.1111,   1 PAM10_20230329_181000.wav
36,39,Yellow-rumped Warbler,0.1597,   1 PAM10_20230329_181000.wav
42,45,Northern Cardinal,0.3239,   1 PAM10_20230329_181000.wav
45,48,Northern Cardinal,0.3809,   1 PAM10_20230329_181000.wav
51,54,Northern Cardinal,0.1034,   1 PAM10_20230329_181000.wav
54,57,Northern Cardinal,0.4429,   1 PAM10_20230329_181000.wav
6,9,Northern Cardinal,0.2848,   1 PAM10_20230329_181000.wav
9,12,Northern Cardinal,0.6354,   1 PAM10_20230329_181000.wav
27,30,Eurasian Wren,0.3389,   1 PAM10_20230329_182000.wav
33,36,Northern Flicker,0.1537,   1 PAM10_20230329_182000.wav
33,36,Spotted Crake,0.1048,   1 PAM10_20230329_182000.wav
48,51,Northern Cardinal,0.2142,   1 PAM10_20230329_182000.wav
57,60,Northern Cardinal,0.1774,   1 PAM10_20230329_182000.wav
0,3,Carolina Wren,0.1734,   1 PAM10_20230329_184000.wav
12,15,Grace's Warbler,0.1537,   1 PAM10_20230329_184000.wav
21,24,Carolina Wren,0.121,   1 PAM10_20230329_184000.wav
27,30,Carolina Wren,0.1761,   1 PAM10_20230329_184000.wav
3,6,Carolina Wren,0.1687,   1 PAM10_20230329_184000.wav
33,36,Carolina Wren,0.2229,   1 PAM10_20230329_184000.wav
39,42,Carolina Wren,0.3376,   1 PAM10_20230329_184000.wav
42,45,Carolina Wren,0.3261,   1 PAM10_20230329_184000.wav
45,48,Carolina Wren,0.2281,   1 PAM10_20230329_184000.wav
48,51,Connecticut Warbler,0.1121,   1 PAM10_20230329_184000.wav
51,54,Carolina Wren,0.1081,   1 PAM10_20230329_184000.wav
54,57,Carolina Wren,0.2984,   1 PAM10_20230329_184000.wav
9,12,Carolina Wren,0.125,   1 PAM10_20230329_184000.wav
12,15,Swainson's Warbler,0.1738,   1 PAM10_20230329_190000.wav
15,18,Carolina Wren,0.2628,   1 PAM10_20230329_190000.wav
18,21,Carolina Wren,0.1576,   1 PAM10_20230329_190000.wav
21,24,Carolina Wren,0.3464,   1 PAM10_20230329_190000.wav
27,30,Carolina Wren,0.1212,   1 PAM10_20230329_190000.wav
3,6,Carolina Wren,0.1075,   1 PAM10_20230329_190000.wav
30,33,Carolina Wren,0.3385,   1 PAM10_20230329_190000.wav
33,36,Carolina Wren,0.1793,   1 PAM10_20230329_190000.wav
48,51,Pine Warbler,0.7628,   1 PAM10_20230329_190000.wav
48,51,Yellow-throated Warbler,0.1895,   1 PAM10_20230329_190000.wav
51,54,Pine Warbler,0.3027,   1 PAM10_20230329_190000.wav
57,60,Carolina Wren,0.2256,   1 PAM10_20230329_190000.wav
6,9,Carolina Wren,0.1778,   1 PAM10_20230329_190000.wav
30,33,Engine,0.1609,   1 PAM10_20230329_191000.wav
9,12,Common Grasshopper-Warbler,0.1187,   1 PAM10_20230329_191000.wav
12,15,Carolina Chickadee,0.2204,   1 PAM10_20230329_192000.wav
18,21,Carolina Chickadee,0.9653,   1 PAM10_20230329_192000.wav
21,24,Carolina Chickadee,0.5581,   1 PAM10_20230329_192000.wav
24,27,Carolina Chickadee,0.2922,   1 PAM10_20230329_192000.wav
27,30,Carolina Chickadee,0.747,   1 PAM10_20230329_192000.wav
3,6,Carolina Chickadee,0.8108,   1 PAM10_20230329_192000.wav
33,36,Carolina Chickadee,0.2764,   1 PAM10_20230329_192000.wav
36,39,Carolina Wren,0.2406,   1 PAM10_20230329_192000.wav
42,45,Carolina Chickadee,0.4224,   1 PAM10_20230329_192000.wav
45,48,Carolina Wren,0.7855,   1 PAM10_20230329_192000.wav
48,51,Thrush-like Wren,0.1154,   1 PAM10_20230329_192000.wav
51,54,Carolina Chickadee,0.2964,   1 PAM10_20230329_192000.wav
51,54,Carolina Wren,0.1791,   1 PAM10_20230329_192000.wav
57,60,Carolina Wren,0.1989,   1 PAM10_20230329_192000.wav
6,9,Carolina Chickadee,0.9113,   1 PAM10_20230329_192000.wav
21,24,Northern Waterthrush,0.1447,   1 PAM10_20230329_193000.wav
24,27,Engine,0.1575,   1 PAM10_20230329_193000.wav
39,42,Common Grasshopper-Warbler,0.2372,   1 PAM10_20230329_193000.wav
57,60,Mistle Thrush,0.1718,   1 PAM10_20230329_193000.wav
0,3,Eastern Kingbird,0.1172,   1 PAM10_20230329_194000.wav
12,15,Pileated Woodpecker,0.1171,   1 PAM10_20230329_194000.wav
12,15,White-crowned Sparrow,0.1273,   1 PAM10_20230329_194000.wav
18,21,White-crowned Sparrow,0.2643,   1 PAM10_20230329_194000.wav
21,24,Northern Cardinal,0.1179,   1 PAM10_20230329_194000.wav
