Begin Time (s),End Time (s),Common Name,Confidence,3997 Begin File
42,45,Engine,0.141,   1 PAM10_20230403_191000.wav
48,51,California Quail,0.1808,   1 PAM10_20230403_192000.wav
9,12,Fieldfare,0.1069,   1 PAM10_20230403_192000.wav
15,18,Blue-headed Vireo,0.1078,   1 PAM10_20230403_193000.wav
15,18,Yellow-throated Vireo,0.1371,   1 PAM10_20230403_193000.wav
24,27,Carolina Wren,0.1861,   1 PAM10_20230403_193000.wav
27,30,Yellow-throated Vireo,0.1218,   1 PAM10_20230403_193000.wav
30,33,Yellow-throated Vireo,0.3141,   1 PAM10_20230403_193000.wav
33,36,Yellow-throated Vireo,0.1169,   1 PAM10_20230403_193000.wav
36,39,Yellow-throated Vireo,0.2411,   1 PAM10_20230403_193000.wav
39,42,Acadian Flycatcher,0.1039,   1 PAM10_20230403_193000.wav
39,42,Blue-headed Vireo,0.1257,   1 PAM10_20230403_193000.wav
39,42,Yellow-throated Vireo,0.1917,   1 PAM10_20230403_193000.wav
42,45,Carolina Wren,0.1428,   1 PAM10_20230403_193000.wav
45,48,Yellow-throated Vireo,0.2913,   1 PAM10_20230403_193000.wav
48,51,Carolina Wren,0.1254,   1 PAM10_20230403_193000.wav
57,60,Yellow-throated Vireo,0.111,   1 PAM10_20230403_193000.wav
9,12,Yellow-throated Vireo,0.2768,   1 PAM10_20230403_193000.wav
3,6,Dog,0.1807,   1 PAM10_20230403_194000.wav
3,6,Human vocal,0.1044,   1 PAM10_20230403_194000.wav
15,18,Northern Cardinal,0.2872,   1 PAM10_20230403_195000.wav
21,24,Northern Cardinal,0.1983,   1 PAM10_20230403_195000.wav
0,3,Great Horned Owl,0.127,   1 PAM10_20230403_201000.wav
36,39,Barred Owl,0.1496,   1 PAM10_20230403_201000.wav
36,39,Great Horned Owl,0.1436,   1 PAM10_20230403_201000.wav
42,45,Great Horned Owl,0.1188,   1 PAM10_20230403_201000.wav
45,48,Great Horned Owl,0.1049,   1 PAM10_20230403_201000.wav
51,54,Great Horned Owl,0.149,   1 PAM10_20230403_201000.wav
54,57,Great Horned Owl,0.1327,   1 PAM10_20230403_201000.wav
21,24,Round-tipped Conehead,0.1046,   1 PAM10_20230403_202000.wav
36,39,Round-tipped Conehead,0.1196,   1 PAM10_20230403_202000.wav
15,18,Engine,0.1066,   1 PAM10_20230403_204000.wav
33,36,Great Horned Owl,0.1058,   1 PAM10_20230403_204000.wav
36,39,American Woodcock,0.177,   1 PAM10_20230403_204000.wav
36,39,Nelson's Sparrow,0.4919,   1 PAM10_20230403_204000.wav
54,57,Great Horned Owl,0.1196,   1 PAM10_20230403_204000.wav
24,27,Engine,0.1253,   1 PAM10_20230403_205000.wav
24,27,Spring Peeper,0.1945,   1 PAM10_20230403_205000.wav
15,18,Engine,0.1208,   1 PAM10_20230403_210000.wav
27,30,Engine,0.1272,   1 PAM10_20230403_210000.wav
27,30,Great Horned Owl,0.1079,   1 PAM10_20230403_210000.wav
3,6,Engine,0.1477,   1 PAM10_20230403_210000.wav
33,36,Great Horned Owl,0.1076,   1 PAM10_20230403_210000.wav
36,39,Great Horned Owl,0.1583,   1 PAM10_20230403_210000.wav
39,42,Great Horned Owl,0.1939,   1 PAM10_20230403_210000.wav
12,15,Spring Peeper,0.1333,   1 PAM10_20230403_211000.wav
24,27,Spring Peeper,0.1141,   1 PAM10_20230403_211000.wav
30,33,Common Grasshopper-Warbler,0.1575,   1 PAM10_20230403_212000.wav
33,36,Least Flycatcher,0.1576,   1 PAM10_20230403_212000.wav
12,15,Red-bellied Woodpecker,0.1259,   1 PAM10_20230403_213000.wav
15,18,Engine,0.1521,   1 PAM10_20230403_213000.wav
18,21,Engine,0.1112,   1 PAM10_20230403_213000.wav
24,27,Engine,0.2632,   1 PAM10_20230403_213000.wav
27,30,Engine,0.3495,   1 PAM10_20230403_213000.wav
30,33,Engine,0.8401,   1 PAM10_20230403_213000.wav
33,36,Engine,0.1163,   1 PAM10_20230403_213000.wav
39,42,Chimney Swift,0.1082,   1 PAM10_20230403_213000.wav
51,54,Engine,0.1863,   1 PAM10_20230403_213000.wav
15,18,Common Grasshopper-Warbler,0.1102,   1 PAM10_20230403_215000.wav
54,57,Human vocal,0.1355,   1 PAM10_20230403_215000.wav
0,3,Dark-eyed Junco,0.1805,   1 PAM10_20230403_221000.wav
0,3,Lincoln's Sparrow,0.1572,   1 PAM10_20230403_221000.wav
39,42,Marsh Wren,0.1074,   1 PAM10_20230403_221000.wav
45,48,Common Grasshopper-Warbler,0.113,   1 PAM10_20230403_221000.wav
48,51,Marsh Wren,0.1075,   1 PAM10_20230403_222000.wav
54,57,Common Grasshopper-Warbler,0.1283,   1 PAM10_20230403_222000.wav
6,9,Bearded Reedling,0.1652,   1 PAM10_20230403_222000.wav
0,3,White-crowned Sparrow,0.102,   1 PAM10_20230403_223000.wav
33,36,Plumbeous Pigeon,0.1037,   1 PAM10_20230403_223000.wav
33,36,Thrush-like Wren,0.1109,   1 PAM10_20230403_223000.wav
33,36,White-crowned Sparrow,0.108,   1 PAM10_20230403_223000.wav
39,42,Spring Peeper,0.1144,   1 PAM10_20230403_223000.wav
48,51,Chimney Swift,0.1938,   1 PAM10_20230403_223000.wav
6,9,Yellow-rumped Warbler,0.1758,   1 PAM10_20230403_223000.wav
45,48,Common Grasshopper-Warbler,0.1364,   1 PAM10_20230403_224000.wav
18,21,Common Grasshopper-Warbler,0.5122,   1 PAM10_20230403_225000.wav
45,48,White-crowned Sparrow,0.13,   1 PAM10_20230403_225000.wav
51,54,Common Grasshopper-Warbler,0.2221,   1 PAM10_20230403_225000.wav
24,27,Common Grasshopper-Warbler,0.3032,   1 PAM10_20230403_231000.wav
15,18,Common Grasshopper-Warbler,0.1545,   1 PAM10_20230403_232000.wav
18,21,Common Grasshopper-Warbler,0.1024,   1 PAM10_20230403_232000.wav
3,6,Swamp Sparrow,0.1006,   1 PAM10_20230403_232000.wav
30,33,Common Grasshopper-Warbler,0.1649,   1 PAM10_20230403_232000.wav
33,36,Common Grasshopper-Warbler,0.1626,   1 PAM10_20230403_232000.wav
39,42,Common Grasshopper-Warbler,0.1635,   1 PAM10_20230403_232000.wav
48,51,Common Grasshopper-Warbler,0.2174,   1 PAM10_20230403_233000.wav
3,6,California Quail,0.2823,   1 PAM10_20230403_234000.wav
30,33,Common Grasshopper-Warbler,0.1033,   1 PAM10_20230403_234000.wav
33,36,Gray Antbird,0.1167,   1 PAM10_20230403_234000.wav
33,36,Hauxwell's Thrush,0.1858,   1 PAM10_20230403_234000.wav
33,36,Thrush-like Wren,0.2435,   1 PAM10_20230403_234000.wav
42,45,Common Grasshopper-Warbler,0.3927,   1 PAM10_20230403_234000.wav
48,51,Common Grasshopper-Warbler,0.1123,   1 PAM10_20230403_234000.wav
57,60,Chimney Swift,0.221,   1 PAM10_20230403_234000.wav
57,60,Swamp Sparrow,0.1167,   1 PAM10_20230403_234000.wav
15,18,Common Grasshopper-Warbler,0.4168,   1 PAM10_20230403_235000.wav
27,30,Common Grasshopper-Warbler,0.1568,   1 PAM10_20230403_235000.wav
33,36,Yellow-rumped Warbler,0.1085,   1 PAM10_20230403_235000.wav
54,57,Common Grasshopper-Warbler,0.125,   1 PAM10_20230403_235000.wav
57,60,Common Grasshopper-Warbler,0.366,   1 PAM10_20230403_235000.wav
9,12,Common Grasshopper-Warbler,0.1065,   1 PAM10_20230403_235000.wav
15,18,White-crowned Sparrow,0.2346,   1 PAM10_20230404_000000.wav
21,24,Common Grasshopper-Warbler,0.1181,   1 PAM10_20230404_000000.wav
27,30,Common Grasshopper-Warbler,0.1143,   1 PAM10_20230404_000000.wav
30,33,Common Grasshopper-Warbler,0.2381,   1 PAM10_20230404_000000.wav
30,33,Savi's Warbler,0.103,   1 PAM10_20230404_000000.wav
48,51,Compact Weaver,0.1663,   1 PAM10_20230404_000000.wav
54,57,Engine,0.3173,   1 PAM10_20230404_000000.wav
57,60,Engine,0.1353,   1 PAM10_20230404_000000.wav
57,60,Human vocal,0.1032,   1 PAM10_20230404_000000.wav
0,3,Common Grasshopper-Warbler,0.1736,   1 PAM10_20230404_001000.wav
12,15,Black-faced Antthrush,0.1255,   1 PAM10_20230404_001000.wav
12,15,Dusky-capped Greenlet,0.1306,   1 PAM10_20230404_001000.wav
12,15,Gray Antbird,0.1552,   1 PAM10_20230404_001000.wav
12,15,Hauxwell's Thrush,0.1536,   1 PAM10_20230404_001000.wav
12,15,Plumbeous Pigeon,0.3544,   1 PAM10_20230404_001000.wav
12,15,Thrush-like Wren,0.1834,   1 PAM10_20230404_001000.wav
27,30,Common Grasshopper-Warbler,0.1139,   1 PAM10_20230404_001000.wav
48,51,Hauxwell's Thrush,0.1224,   1 PAM10_20230404_001000.wav
48,51,Plumbeous Pigeon,0.1006,   1 PAM10_20230404_001000.wav
48,51,Thrush-like Wren,0.1337,   1 PAM10_20230404_001000.wav
51,54,Common Grasshopper-Warbler,0.1381,   1 PAM10_20230404_001000.wav
51,54,Common Grasshopper-Warbler,0.2651,   1 PAM10_20230404_002000.wav
18,21,White-crowned Sparrow,0.1407,   1 PAM10_20230404_003000.wav
21,24,Barred Owl,0.2102,   1 PAM10_20230404_003000.wav
24,27,Barred Owl,0.11,   1 PAM10_20230404_003000.wav
27,30,Common Cuckoo,0.1677,   1 PAM10_20230404_003000.wav
3,6,Barred Owl,0.1726,   1 PAM10_20230404_003000.wav
30,33,Barred Owl,0.1245,   1 PAM10_20230404_003000.wav
45,48,Common Grasshopper-Warbler,0.2469,   1 PAM10_20230404_003000.wav
3,6,Common Grasshopper-Warbler,0.1547,   1 PAM10_20230404_004000.wav
48,51,Chimney Swift,0.1596,   1 PAM10_20230404_004000.wav
51,54,Common Grasshopper-Warbler,0.1919,   1 PAM10_20230404_004000.wav
6,9,Common Grasshopper-Warbler,0.2579,   1 PAM10_20230404_004000.wav
12,15,Common Grasshopper-Warbler,0.3203,   1 PAM10_20230404_005000.wav
15,18,Common Grasshopper-Warbler,0.1504,   1 PAM10_20230404_005000.wav
24,27,Common Grasshopper-Warbler,0.2572,   1 PAM10_20230404_005000.wav
30,33,Human vocal,0.1027,   1 PAM10_20230404_005000.wav
48,51,Black-tailed Trogon,0.1393,   1 PAM10_20230404_005000.wav
48,51,Dusky-capped Greenlet,0.2454,   1 PAM10_20230404_005000.wav
48,51,Paradise Tanager,0.1168,   1 PAM10_20230404_005000.wav
48,51,Plumbeous Pigeon,0.5271,   1 PAM10_20230404_005000.wav
48,51,Thrush-like Wren,0.1976,   1 PAM10_20230404_005000.wav
54,57,Common Grasshopper-Warbler,0.2942,   1 PAM10_20230404_005000.wav
6,9,Common Grasshopper-Warbler,0.1431,   1 PAM10_20230404_005000.wav
33,36,Common Grasshopper-Warbler,0.1349,   1 PAM10_20230404_010000.wav
51,54,Common Grasshopper-Warbler,0.127,   1 PAM10_20230404_010000.wav
57,60,Lesser Whitethroat,0.1111,   1 PAM10_20230404_010000.wav
18,21,Hauxwell's Thrush,0.115,   1 PAM10_20230404_011000.wav
18,21,Thrush-like Wren,0.1503,   1 PAM10_20230404_011000.wav
3,6,Tree Pipit,0.1447,   1 PAM10_20230404_011000.wav
33,36,Common Grasshopper-Warbler,0.1238,   1 PAM10_20230404_011000.wav
39,42,Eurasian Collared-Dove,0.1067,   1 PAM10_20230404_011000.wav
15,18,Band-backed Wren,0.3026,   1 PAM10_20230404_012000.wav
48,51,Thrush-like Wren,0.1483,   1 PAM10_20230404_012000.wav
48,51,White-crowned Sparrow,0.121,   1 PAM10_20230404_012000.wav
12,15,Common Grasshopper-Warbler,0.1568,   1 PAM10_20230404_013000.wav
15,18,Common Grasshopper-Warbler,0.1452,   1 PAM10_20230404_013000.wav
15,18,Engine,0.1101,   1 PAM10_20230404_013000.wav
33,36,Common Grasshopper-Warbler,0.1962,   1 PAM10_20230404_013000.wav
36,39,Common Grasshopper-Warbler,0.1478,   1 PAM10_20230404_013000.wav
42,45,Common Grasshopper-Warbler,0.1767,   1 PAM10_20230404_013000.wav
42,45,Thrush-like Wren,0.1049,   1 PAM10_20230404_014000.wav
42,45,White-crowned Sparrow,0.2915,   1 PAM10_20230404_014000.wav
45,48,White-crowned Sparrow,0.4538,   1 PAM10_20230404_014000.wav
6,9,Common Grasshopper-Warbler,0.1104,   1 PAM10_20230404_014000.wav
12,15,Lesser Whitethroat,0.109,   1 PAM10_20230404_015000.wav
42,45,White-crowned Sparrow,0.1189,   1 PAM10_20230404_015000.wav
45,48,Common Grasshopper-Warbler,0.1092,   1 PAM10_20230404_015000.wav
9,12,Common Grasshopper-Warbler,0.1505,   1 PAM10_20230404_015000.wav
24,27,Gray-hooded Sierra Finch,0.1006,   1 PAM10_20230404_020000.wav
24,27,Lincoln's Sparrow,0.2145,   1 PAM10_20230404_020000.wav
36,39,Common Grasshopper-Warbler,0.1073,   1 PAM10_20230404_020000.wav
42,45,Common Grasshopper-Warbler,0.1425,   1 PAM10_20230404_020000.wav
45,48,Swamp Sparrow,0.1434,   1 PAM10_20230404_020000.wav
48,51,Common Grasshopper-Warbler,0.1373,   1 PAM10_20230404_020000.wav
51,54,Common Grasshopper-Warbler,0.4411,   1 PAM10_20230404_020000.wav
30,33,Common Grasshopper-Warbler,0.1376,   1 PAM10_20230404_021000.wav
33,36,Swamp Sparrow,0.2933,   1 PAM10_20230404_021000.wav
42,45,Common Grasshopper-Warbler,0.2114,   1 PAM10_20230404_021000.wav
51,54,Common Grasshopper-Warbler,0.3193,   1 PAM10_20230404_021000.wav
9,12,Human vocal,0.1132,   1 PAM10_20230404_021000.wav
24,27,Fox Sparrow,0.2926,   1 PAM10_20230404_022000.wav
27,30,Common Grasshopper-Warbler,0.158,   1 PAM10_20230404_022000.wav
36,39,Common Grasshopper-Warbler,0.1077,   1 PAM10_20230404_022000.wav
42,45,Common Grasshopper-Warbler,0.1237,   1 PAM10_20230404_022000.wav
45,48,Common Grasshopper-Warbler,0.1343,   1 PAM10_20230404_022000.wav
51,54,Common Grasshopper-Warbler,0.6791,   1 PAM10_20230404_022000.wav
9,12,Common Grasshopper-Warbler,0.171,   1 PAM10_20230404_022000.wav
18,21,White-crowned Sparrow,0.1194,   1 PAM10_20230404_023000.wav
24,27,Common Grasshopper-Warbler,0.3694,   1 PAM10_20230404_023000.wav
36,39,Common Grasshopper-Warbler,0.1863,   1 PAM10_20230404_023000.wav
39,42,Common Grasshopper-Warbler,0.3452,   1 PAM10_20230404_023000.wav
45,48,Barred Owl,0.1032,   1 PAM10_20230404_023000.wav
39,42,Common Grasshopper-Warbler,0.1704,   1 PAM10_20230404_024000.wav
0,3,Common Grasshopper-Warbler,0.1352,   1 PAM10_20230404_025000.wav
24,27,Common Grasshopper-Warbler,0.6668,   1 PAM10_20230404_025000.wav
27,30,Common Grasshopper-Warbler,0.4471,   1 PAM10_20230404_025000.wav
30,33,Eurasian Wren,0.1115,   1 PAM10_20230404_025000.wav
33,36,Eurasian Woodcock,0.1181,   1 PAM10_20230404_025000.wav
54,57,Common Grasshopper-Warbler,0.1504,   1 PAM10_20230404_025000.wav
3,6,White-crowned Sparrow,0.2083,   1 PAM10_20230404_030000.wav
33,36,Common Grasshopper-Warbler,0.1195,   1 PAM10_20230404_030000.wav
45,48,White-crowned Sparrow,0.5301,   1 PAM10_20230404_030000.wav
57,60,Common Grasshopper-Warbler,0.1493,   1 PAM10_20230404_030000.wav
36,39,Thrush-like Wren,0.1564,   1 PAM10_20230404_031000.wav
36,39,White-crowned Sparrow,0.1045,   1 PAM10_20230404_031000.wav
39,42,Common Grasshopper-Warbler,0.157,   1 PAM10_20230404_031000.wav
42,45,Common Grasshopper-Warbler,0.2948,   1 PAM10_20230404_031000.wav
57,60,White-crowned Sparrow,0.1653,   1 PAM10_20230404_031000.wav
15,18,White-crowned Sparrow,0.1081,   1 PAM10_20230404_033000.wav
21,24,Black-faced Antthrush,0.1381,   1 PAM10_20230404_033000.wav
21,24,Plumbeous Pigeon,0.1644,   1 PAM10_20230404_033000.wav
21,24,Thrush-like Wren,0.1192,   1 PAM10_20230404_033000.wav
21,24,White-crowned Sparrow,0.1177,   1 PAM10_20230404_033000.wav
24,27,Hermit Thrush,0.1701,   1 PAM10_20230404_033000.wav
24,27,Thrush-like Wren,0.1251,   1 PAM10_20230404_033000.wav
24,27,White-crowned Sparrow,0.2739,   1 PAM10_20230404_033000.wav
27,30,White-crowned Sparrow,0.1683,   1 PAM10_20230404_033000.wav
30,33,Little Bittern,0.1371,   1 PAM10_20230404_033000.wav
30,33,White-crowned Sparrow,0.1213,   1 PAM10_20230404_033000.wav
33,36,White-crowned Sparrow,0.1373,   1 PAM10_20230404_033000.wav
36,39,White-crowned Sparrow,0.1169,   1 PAM10_20230404_033000.wav
45,48,White-crowned Sparrow,0.3404,   1 PAM10_20230404_033000.wav
12,15,Common Grasshopper-Warbler,0.1757,   1 PAM10_20230404_034000.wav
18,21,White-crowned Sparrow,0.1136,   1 PAM10_20230404_034000.wav
21,24,White-crowned Sparrow,0.332,   1 PAM10_20230404_034000.wav
24,27,Common Grasshopper-Warbler,0.1266,   1 PAM10_20230404_034000.wav
3,6,Common Grasshopper-Warbler,0.128,   1 PAM10_20230404_034000.wav
30,33,White-crowned Sparrow,0.1474,   1 PAM10_20230404_034000.wav
48,51,Common Grasshopper-Warbler,0.1169,   1 PAM10_20230404_034000.wav
54,57,White-crowned Sparrow,0.1008,   1 PAM10_20230404_034000.wav
18,21,White-crowned Sparrow,0.2036,   1 PAM10_20230404_035000.wav
24,27,Common Grasshopper-Warbler,0.3309,   1 PAM10_20230404_035000.wav
3,6,White-crowned Sparrow,0.5321,   1 PAM10_20230404_035000.wav
39,42,Common Grasshopper-Warbler,0.1167,   1 PAM10_20230404_035000.wav
45,48,Common Grasshopper-Warbler,0.1901,   1 PAM10_20230404_035000.wav
54,57,White-crowned Sparrow,0.1704,   1 PAM10_20230404_035000.wav
57,60,Common Grasshopper-Warbler,0.1975,   1 PAM10_20230404_035000.wav
15,18,Common Grasshopper-Warbler,0.1595,   1 PAM10_20230404_040000.wav
24,27,Common Grasshopper-Warbler,0.3102,   1 PAM10_20230404_040000.wav
33,36,Swamp Sparrow,0.1051,   1 PAM10_20230404_040000.wav
33,36,White-crowned Sparrow,0.1034,   1 PAM10_20230404_040000.wav
39,42,White-crowned Sparrow,0.1133,   1 PAM10_20230404_040000.wav
6,9,White-crowned Sparrow,0.2791,   1 PAM10_20230404_040000.wav
18,21,White-crowned Sparrow,0.1856,   1 PAM10_20230404_041000.wav
21,24,Cetti's Warbler,0.1963,   1 PAM10_20230404_041000.wav
24,27,White-crowned Sparrow,0.2392,   1 PAM10_20230404_041000.wav
30,33,Common Grasshopper-Warbler,0.1251,   1 PAM10_20230404_041000.wav
30,33,White-crowned Sparrow,0.1353,   1 PAM10_20230404_041000.wav
33,36,Engine,0.1017,   1 PAM10_20230404_041000.wav
39,42,Chimney Swift,0.3408,   1 PAM10_20230404_041000.wav
48,51,White-crowned Sparrow,0.1409,   1 PAM10_20230404_041000.wav
57,60,Common Grasshopper-Warbler,0.118,   1 PAM10_20230404_041000.wav
15,18,Common Grasshopper-Warbler,0.1427,   1 PAM10_20230404_042000.wav
45,48,Common Grasshopper-Warbler,0.2736,   1 PAM10_20230404_042000.wav
36,39,Lesser Whitethroat,0.1945,   1 PAM10_20230404_043000.wav
51,54,Common Grasshopper-Warbler,0.1056,   1 PAM10_20230404_043000.wav
57,60,Common Grasshopper-Warbler,0.1018,   1 PAM10_20230404_043000.wav
6,9,Thrush-like Wren,0.1119,   1 PAM10_20230404_043000.wav
9,12,Engine,0.1048,   1 PAM10_20230404_043000.wav
21,24,Common Grasshopper-Warbler,0.2059,   1 PAM10_20230404_044000.wav
27,30,Swamp Sparrow,0.3174,   1 PAM10_20230404_044000.wav
33,36,Common Grasshopper-Warbler,0.1048,   1 PAM10_20230404_044000.wav
39,42,Common Grasshopper-Warbler,0.4102,   1 PAM10_20230404_044000.wav
54,57,White-crowned Sparrow,0.1993,   1 PAM10_20230404_044000.wav
42,45,Common Grasshopper-Warbler,0.2428,   1 PAM10_20230404_045000.wav
45,48,Common Grasshopper-Warbler,0.4152,   1 PAM10_20230404_045000.wav
18,21,White-crowned Sparrow,0.1446,   1 PAM10_20230404_050000.wav
27,30,Common Grasshopper-Warbler,0.5625,   1 PAM10_20230404_050000.wav
51,54,Human vocal,0.1148,   1 PAM10_20230404_050000.wav
9,12,California Quail,0.2114,   1 PAM10_20230404_050000.wav
9,12,Common Grasshopper-Warbler,0.2107,   1 PAM10_20230404_050000.wav
30,33,American Woodcock,0.1441,   1 PAM10_20230404_051000.wav
30,33,Black-headed Saltator,0.2396,   1 PAM10_20230404_051000.wav
45,48,White-crowned Sparrow,0.1143,   1 PAM10_20230404_051000.wav
18,21,White-crowned Sparrow,0.3415,   1 PAM10_20230404_052000.wav
45,48,Common Grasshopper-Warbler,0.2096,   1 PAM10_20230404_052000.wav
6,9,Garganey,0.1643,   1 PAM10_20230404_052000.wav
6,9,Little Bustard,0.2271,   1 PAM10_20230404_052000.wav
12,15,White-crowned Sparrow,0.2068,   1 PAM10_20230404_053000.wav
18,21,Common Grasshopper-Warbler,0.2132,   1 PAM10_20230404_053000.wav
24,27,Common Grasshopper-Warbler,0.1179,   1 PAM10_20230404_053000.wav
27,30,White-crowned Sparrow,0.4153,   1 PAM10_20230404_053000.wav
39,42,White-crowned Sparrow,0.114,   1 PAM10_20230404_053000.wav
48,51,Common Grasshopper-Warbler,0.1108,   1 PAM10_20230404_053000.wav
0,3,White-crowned Sparrow,0.2177,   1 PAM10_20230404_054000.wav
36,39,Engine,0.1004,   1 PAM10_20230404_054000.wav
42,45,Common Grasshopper-Warbler,0.1403,   1 PAM10_20230404_054000.wav
45,48,Engine,0.1541,   1 PAM10_20230404_054000.wav
51,54,Plumbeous Pigeon,0.1099,   1 PAM10_20230404_054000.wav
51,54,Thrush-like Wren,0.1578,   1 PAM10_20230404_054000.wav
57,60,Common Grasshopper-Warbler,0.1392,   1 PAM10_20230404_054000.wav
57,60,White-crowned Sparrow,0.4755,   1 PAM10_20230404_054000.wav
21,24,White-crowned Sparrow,0.1056,   1 PAM10_20230404_055000.wav
51,54,Common Grasshopper-Warbler,0.1291,   1 PAM10_20230404_055000.wav
54,57,Whiskered Screech-Owl,0.1123,   1 PAM10_20230404_055000.wav
0,3,Common Grasshopper-Warbler,0.2619,   1 PAM10_20230404_060000.wav
27,30,Red-shouldered Hawk,0.1467,   1 PAM10_20230404_060000.wav
45,48,Common Grasshopper-Warbler,0.1031,   1 PAM10_20230404_060000.wav
9,12,White-crowned Sparrow,0.1024,   1 PAM10_20230404_060000.wav
15,18,Common Grasshopper-Warbler,0.8426,   1 PAM10_20230404_061000.wav
18,21,White-crowned Sparrow,0.2112,   1 PAM10_20230404_061000.wav
3,6,Common Grasshopper-Warbler,0.2155,   1 PAM10_20230404_061000.wav
33,36,Eurasian Collared-Dove,0.1659,   1 PAM10_20230404_061000.wav
33,36,Eurasian Eagle-Owl,0.1783,   1 PAM10_20230404_061000.wav
36,39,Common Grasshopper-Warbler,0.1475,   1 PAM10_20230404_061000.wav
42,45,Common Grasshopper-Warbler,0.1926,   1 PAM10_20230404_061000.wav
54,57,Dog,0.2146,   1 PAM10_20230404_061000.wav
54,57,Eurasian Eagle-Owl,0.147,   1 PAM10_20230404_061000.wav
54,57,Human vocal,0.1044,   1 PAM10_20230404_061000.wav
15,18,Common Grasshopper-Warbler,0.2288,   1 PAM10_20230404_062000.wav
45,48,Chimney Swift,0.4763,   1 PAM10_20230404_062000.wav
45,48,Swamp Sparrow,0.1241,   1 PAM10_20230404_062000.wav
51,54,Common Grasshopper-Warbler,0.1047,   1 PAM10_20230404_062000.wav
0,3,Pine Warbler,0.581,   1 PAM10_20230404_063000.wav
15,18,Pine Warbler,0.1005,   1 PAM10_20230404_063000.wav
21,24,Pine Warbler,0.3316,   1 PAM10_20230404_063000.wav
3,6,Pine Warbler,0.333,   1 PAM10_20230404_063000.wav
30,33,Pine Warbler,0.6184,   1 PAM10_20230404_063000.wav
30,33,Yellow-throated Warbler,0.1078,   1 PAM10_20230404_063000.wav
33,36,Pine Warbler,0.4687,   1 PAM10_20230404_063000.wav
36,39,Yellow-throated Warbler,0.1344,   1 PAM10_20230404_063000.wav
39,42,Yellow-throated Warbler,0.2331,   1 PAM10_20230404_063000.wav
42,45,Pine Warbler,0.1021,   1 PAM10_20230404_063000.wav
42,45,Yellow-throated Warbler,0.1612,   1 PAM10_20230404_063000.wav
48,51,Pine Warbler,0.6224,   1 PAM10_20230404_063000.wav
48,51,Yellow-throated Warbler,0.1261,   1 PAM10_20230404_063000.wav
51,54,Yellow-throated Warbler,0.1291,   1 PAM10_20230404_063000.wav
54,57,Yellow-throated Warbler,0.123,   1 PAM10_20230404_063000.wav
3,6,Prothonotary Warbler,0.1734,   1 PAM10_20230404_064000.wav
30,33,Prothonotary Warbler,0.1076,   1 PAM10_20230404_064000.wav
48,51,Kentucky Warbler,0.112,   1 PAM10_20230404_064000.wav
48,51,Prothonotary Warbler,0.1353,   1 PAM10_20230404_064000.wav
48,51,Yellow-throated Warbler,0.124,   1 PAM10_20230404_064000.wav
51,54,Yellow-throated Warbler,0.1196,   1 PAM10_20230404_064000.wav
6,9,Prothonotary Warbler,0.1202,   1 PAM10_20230404_064000.wav
9,12,Kentucky Warbler,0.1041,   1 PAM10_20230404_064000.wav
9,12,Prothonotary Warbler,0.1149,   1 PAM10_20230404_064000.wav
9,12,Yellow-throated Warbler,0.1438,   1 PAM10_20230404_064000.wav
0,3,Pine Warbler,0.1277,   1 PAM10_20230404_065000.wav
15,18,Pine Warbler,0.3248,   1 PAM10_20230404_065000.wav
18,21,Yellow-throated Warbler,0.2035,   1 PAM10_20230404_065000.wav
24,27,Pine Warbler,0.1244,   1 PAM10_20230404_065000.wav
3,6,Tufted Titmouse,0.1079,   1 PAM10_20230404_065000.wav
30,33,Palm Warbler,0.1122,   1 PAM10_20230404_065000.wav
30,33,Pine Warbler,0.3807,   1 PAM10_20230404_065000.wav
45,48,Yellow-throated Warbler,0.1101,   1 PAM10_20230404_065000.wav
48,51,Yellow-throated Warbler,0.1361,   1 PAM10_20230404_065000.wav
54,57,Yellow-throated Warbler,0.1456,   1 PAM10_20230404_065000.wav
6,9,Palm Warbler,0.1489,   1 PAM10_20230404_065000.wav
6,9,Pine Warbler,0.4693,   1 PAM10_20230404_065000.wav
6,9,Yellow-throated Warbler,0.101,   1 PAM10_20230404_065000.wav
9,12,Bachman's Sparrow,0.1907,   1 PAM10_20230404_065000.wav
9,12,Pine Warbler,0.153,   1 PAM10_20230404_065000.wav
9,12,Yellow-throated Warbler,0.247,   1 PAM10_20230404_065000.wav
0,3,Tufted Titmouse,0.3482,   1 PAM10_20230404_070000.wav
15,18,Yellow-throated Warbler,0.1016,   1 PAM10_20230404_070000.wav
24,27,Yellow-throated Warbler,0.1231,   1 PAM10_20230404_070000.wav
3,6,Pine Warbler,0.251,   1 PAM10_20230404_070000.wav
30,33,Black-throated Green Warbler,0.1234,   1 PAM10_20230404_070000.wav
33,36,Bachman's Sparrow,0.1401,   1 PAM10_20230404_070000.wav
36,39,Pine Warbler,0.1348,   1 PAM10_20230404_070000.wav
39,42,Prothonotary Warbler,0.1278,   1 PAM10_20230404_070000.wav
39,42,Swainson's Warbler,0.1721,   1 PAM10_20230404_070000.wav
39,42,Yellow-throated Warbler,0.1163,   1 PAM10_20230404_070000.wav
42,45,Tufted Titmouse,0.1286,   1 PAM10_20230404_070000.wav
45,48,Pine Warbler,0.1064,   1 PAM10_20230404_070000.wav
54,57,Pine Warbler,0.4354,   1 PAM10_20230404_070000.wav
