,,,,  11 
Begin Time (s),End Time (s),Common Name,Confidence,1561 Begin File
54.0,57.0,Wood Frog,0.1130,   1 PAM2_20230304_132000.wav
6.0,9.0,American Woodcock,0.2126,   1 PAM2_20230304_132000.wav
12.0,15.0,Brown-headed Nuthatch,0.9706,   1 PAM2_20230304_133000.wav
15.0,18.0,American Woodcock,0.1235,   1 PAM2_20230304_133000.wav
15.0,18.0,Spring Peeper,0.1255,   1 PAM2_20230304_133000.wav
18.0,21.0,American Woodcock,0.1661,   1 PAM2_20230304_133000.wav
21.0,24.0,American Woodcock,0.1400,   1 PAM2_20230304_133000.wav
30.0,33.0,American Woodcock,0.1428,   1 PAM2_20230304_133000.wav
36.0,39.0,American Woodcock,0.1119,   1 PAM2_20230304_133000.wav
39.0,42.0,American Woodcock,0.1126,   1 PAM2_20230304_133000.wav
39.0,42.0,Spring Peeper,0.1333,   1 PAM2_20230304_133000.wav
42.0,45.0,American Woodcock,0.1501,   1 PAM2_20230304_133000.wav
6.0,9.0,Wood Frog,0.1008,   1 PAM2_20230304_133000.wav
9.0,12.0,American Woodcock,0.1005,   1 PAM2_20230304_133000.wav
33.0,36.0,Brown-headed Nuthatch,0.8532,   1 PAM2_20230304_134000.wav
36.0,39.0,Bachman's Sparrow,0.1141,   1 PAM2_20230304_134000.wav
36.0,39.0,Brown-headed Nuthatch,0.8351,   1 PAM2_20230304_134000.wav
39.0,42.0,Brown-headed Nuthatch,0.9796,   1 PAM2_20230304_134000.wav
42.0,45.0,Brown-headed Nuthatch,0.9937,   1 PAM2_20230304_134000.wav
45.0,48.0,Brown-headed Nuthatch,0.9911,   1 PAM2_20230304_134000.wav
48.0,51.0,Brown-headed Nuthatch,0.9916,   1 PAM2_20230304_134000.wav
0,3.0,Song Sparrow,0.2708,   1 PAM2_20230304_135000.wav
15.0,18.0,Mouse-colored Sunbird,0.1797,   1 PAM2_20230304_135000.wav
15.0,18.0,Yellow-hooded Blackbird,0.1307,   1 PAM2_20230304_135000.wav
27.0,30.0,Red-shouldered Hawk,0.7168,   1 PAM2_20230304_135000.wav
3.0,6.0,Yellow-hooded Blackbird,0.4823,   1 PAM2_20230304_135000.wav
30.0,33.0,Eurasian Green Woodpecker,0.1094,   1 PAM2_20230304_135000.wav
30.0,33.0,Red-bellied Woodpecker,0.7143,   1 PAM2_20230304_135000.wav
6.0,9.0,Yellow-hooded Blackbird,0.1089,   1 PAM2_20230304_135000.wav
12.0,15.0,Swamp Sparrow,0.2879,   1 PAM2_20230304_140000.wav
15.0,18.0,Swamp Sparrow,0.1261,   1 PAM2_20230304_140000.wav
18.0,21.0,Swamp Sparrow,0.6482,   1 PAM2_20230304_140000.wav
27.0,30.0,Arctic Warbler,0.6408,   1 PAM2_20230304_140000.wav
27.0,30.0,Swamp Sparrow,0.2718,   1 PAM2_20230304_140000.wav
36.0,39.0,Golden-crowned Sparrow,0.1083,   1 PAM2_20230304_140000.wav
39.0,42.0,Swamp Sparrow,0.2903,   1 PAM2_20230304_140000.wav
42.0,45.0,Swamp Sparrow,0.2741,   1 PAM2_20230304_140000.wav
42.0,45.0,Yellowhammer,0.1958,   1 PAM2_20230304_140000.wav
51.0,54.0,Yellowhammer,0.4390,   1 PAM2_20230304_140000.wav
54.0,57.0,Golden-crowned Sparrow,0.1519,   1 PAM2_20230304_140000.wav
57.0,60.0,Swamp Sparrow,0.5667,   1 PAM2_20230304_140000.wav
0,3.0,White-crowned Sparrow,0.4401,   1 PAM2_20230304_141000.wav
27.0,30.0,Swallow Tanager,0.2949,   1 PAM2_20230304_141000.wav
3.0,6.0,White-crowned Sparrow,0.1153,   1 PAM2_20230304_141000.wav
51.0,54.0,Engine,0.1186,   1 PAM2_20230304_141000.wav
6.0,9.0,American Pipit,0.1014,   1 PAM2_20230304_141000.wav
9.0,12.0,Pine Warbler,0.6477,   1 PAM2_20230304_141000.wav
0,3.0,White-crowned Sparrow,0.1068,   1 PAM2_20230304_142000.wav
12.0,15.0,White-crowned Sparrow,0.1304,   1 PAM2_20230304_142000.wav
15.0,18.0,White-crowned Sparrow,0.1201,   1 PAM2_20230304_142000.wav
18.0,21.0,White-crowned Sparrow,0.1229,   1 PAM2_20230304_142000.wav
21.0,24.0,American Pipit,0.1155,   1 PAM2_20230304_142000.wav
21.0,24.0,White-crowned Sparrow,0.2182,   1 PAM2_20230304_142000.wav
27.0,30.0,White-crowned Sparrow,0.2351,   1 PAM2_20230304_142000.wav
3.0,6.0,Brown-headed Nuthatch,0.8442,   1 PAM2_20230304_142000.wav
30.0,33.0,White-crowned Sparrow,0.1069,   1 PAM2_20230304_142000.wav
39.0,42.0,White-crowned Sparrow,0.1141,   1 PAM2_20230304_142000.wav
42.0,45.0,White-crowned Sparrow,0.1096,   1 PAM2_20230304_142000.wav
48.0,51.0,White-crowned Sparrow,0.1443,   1 PAM2_20230304_142000.wav
51.0,54.0,White-crowned Sparrow,0.1114,   1 PAM2_20230304_142000.wav
6.0,9.0,Brown-headed Nuthatch,0.9850,   1 PAM2_20230304_142000.wav
6.0,9.0,Common Waxbill,0.4565,   1 PAM2_20230304_142000.wav
9.0,12.0,Blue-gray Gnatcatcher,0.2527,   1 PAM2_20230304_142000.wav
9.0,12.0,Brown-headed Nuthatch,0.4357,   1 PAM2_20230304_142000.wav
12.0,15.0,Engine,0.1452,   1 PAM2_20230304_143000.wav
48.0,51.0,Engine,0.1617,   1 PAM2_20230304_143000.wav
6.0,9.0,Engine,0.1222,   1 PAM2_20230304_143000.wav
3.0,6.0,European Robin,0.1185,   1 PAM2_20230304_145000.wav
15.0,18.0,Tufted Titmouse,0.3438,   1 PAM2_20230304_150000.wav
3.0,6.0,White-crowned Sparrow,0.1667,   1 PAM2_20230304_150000.wav
51.0,54.0,Chimney Swift,0.1012,   1 PAM2_20230304_150000.wav
57.0,60.0,European Robin,0.1966,   1 PAM2_20230304_150000.wav
21.0,24.0,Iberian Green Woodpecker,0.2326,   1 PAM2_20230304_151000.wav
21.0,24.0,Pileated Woodpecker,0.5068,   1 PAM2_20230304_151000.wav
21.0,24.0,White-breasted Nuthatch,0.1241,   1 PAM2_20230304_151000.wav
51.0,54.0,Brown-headed Nuthatch,0.8681,   1 PAM2_20230304_151000.wav
51.0,54.0,Ferruginous Antbird,0.2130,   1 PAM2_20230304_151000.wav
54.0,57.0,Brown-headed Nuthatch,0.9918,   1 PAM2_20230304_151000.wav
57.0,60.0,Brown-headed Nuthatch,0.9768,   1 PAM2_20230304_151000.wav
6.0,9.0,Iberian Green Woodpecker,0.1752,   1 PAM2_20230304_151000.wav
0,3.0,Eastern Narrow-mouthed Toad,0.1115,   1 PAM2_20230304_152000.wav
27.0,30.0,Eastern Narrow-mouthed Toad,0.1884,   1 PAM2_20230304_152000.wav
30.0,33.0,Eastern Narrow-mouthed Toad,0.2829,   1 PAM2_20230304_152000.wav
33.0,36.0,Eastern Narrow-mouthed Toad,0.1466,   1 PAM2_20230304_152000.wav
48.0,51.0,American Woodcock,0.1677,   1 PAM2_20230304_152000.wav
51.0,54.0,American Woodcock,0.1125,   1 PAM2_20230304_152000.wav
54.0,57.0,American Woodcock,0.1729,   1 PAM2_20230304_152000.wav
57.0,60.0,American Woodcock,0.1032,   1 PAM2_20230304_152000.wav
0,3.0,American Woodcock,0.1159,   1 PAM2_20230304_153000.wav
0,3.0,Spring Peeper,0.1169,   1 PAM2_20230304_153000.wav
0,3.0,Wood Frog,0.1964,   1 PAM2_20230304_153000.wav
18.0,21.0,American Woodcock,0.1295,   1 PAM2_20230304_153000.wav
21.0,24.0,American Woodcock,0.1167,   1 PAM2_20230304_153000.wav
27.0,30.0,Spring Peeper,0.1011,   1 PAM2_20230304_153000.wav
3.0,6.0,American Woodcock,0.1046,   1 PAM2_20230304_153000.wav
3.0,6.0,Wood Frog,0.1847,   1 PAM2_20230304_153000.wav
33.0,36.0,Wood Frog,0.1077,   1 PAM2_20230304_153000.wav
36.0,39.0,Wood Frog,0.1242,   1 PAM2_20230304_153000.wav
45.0,48.0,Wood Frog,0.1438,   1 PAM2_20230304_153000.wav
48.0,51.0,Wood Frog,0.2838,   1 PAM2_20230304_153000.wav
51.0,54.0,Wood Frog,0.1746,   1 PAM2_20230304_153000.wav
12.0,15.0,Wood Frog,0.1498,   1 PAM2_20230304_154000.wav
15.0,18.0,Wood Frog,0.1034,   1 PAM2_20230304_154000.wav
18.0,21.0,Wood Frog,0.1895,   1 PAM2_20230304_154000.wav
21.0,24.0,Wood Frog,0.2648,   1 PAM2_20230304_154000.wav
24.0,27.0,Spring Peeper,0.1392,   1 PAM2_20230304_154000.wav
24.0,27.0,Wood Frog,0.2221,   1 PAM2_20230304_154000.wav
27.0,30.0,Wood Frog,0.6215,   1 PAM2_20230304_154000.wav
30.0,33.0,Wood Frog,0.1764,   1 PAM2_20230304_154000.wav
36.0,39.0,Wood Frog,0.1717,   1 PAM2_20230304_154000.wav
42.0,45.0,Eastern Narrow-mouthed Toad,0.1482,   1 PAM2_20230304_154000.wav
45.0,48.0,Blue-gray Gnatcatcher,0.1728,   1 PAM2_20230304_154000.wav
45.0,48.0,Brown-headed Nuthatch,0.8571,   1 PAM2_20230304_154000.wav
48.0,51.0,Common Waxbill,0.1883,   1 PAM2_20230304_154000.wav
48.0,51.0,Wood Frog,0.1015,   1 PAM2_20230304_154000.wav
51.0,54.0,Brown-headed Nuthatch,0.8494,   1 PAM2_20230304_154000.wav
54.0,57.0,Wood Frog,0.1938,   1 PAM2_20230304_154000.wav
57.0,60.0,Spring Peeper,0.1106,   1 PAM2_20230304_154000.wav
57.0,60.0,Wood Frog,0.2137,   1 PAM2_20230304_154000.wav
9.0,12.0,American Woodcock,0.2161,   1 PAM2_20230304_154000.wav
9.0,12.0,Spring Peeper,0.1767,   1 PAM2_20230304_154000.wav
9.0,12.0,Wood Frog,0.1047,   1 PAM2_20230304_154000.wav
12.0,15.0,White-throated Kingfisher,0.2184,   1 PAM2_20230304_155000.wav
27.0,30.0,White-crowned Sparrow,0.2918,   1 PAM2_20230304_155000.wav
3.0,6.0,White-crowned Sparrow,0.1147,   1 PAM2_20230304_155000.wav
30.0,33.0,White-crowned Sparrow,0.1861,   1 PAM2_20230304_155000.wav
36.0,39.0,White-crowned Sparrow,0.1165,   1 PAM2_20230304_155000.wav
42.0,45.0,Spillmann's Tapaculo,0.1341,   1 PAM2_20230304_155000.wav
42.0,45.0,White-crowned Sparrow,0.2325,   1 PAM2_20230304_155000.wav
48.0,51.0,American Pipit,0.2052,   1 PAM2_20230304_155000.wav
48.0,51.0,Zitting Cisticola,0.2421,   1 PAM2_20230304_155000.wav
57.0,60.0,White-crowned Sparrow,0.1210,   1 PAM2_20230304_155000.wav
0,3.0,Swamp Sparrow,0.9725,   1 PAM2_20230304_160000.wav
12.0,15.0,Swamp Sparrow,0.9011,   1 PAM2_20230304_160000.wav
18.0,21.0,Gray Wagtail,0.1573,   1 PAM2_20230304_160000.wav
18.0,21.0,Swamp Sparrow,0.1629,   1 PAM2_20230304_160000.wav
21.0,24.0,Swamp Sparrow,0.7648,   1 PAM2_20230304_160000.wav
24.0,27.0,Swamp Sparrow,0.1974,   1 PAM2_20230304_160000.wav
3.0,6.0,Palm Warbler,0.1138,   1 PAM2_20230304_160000.wav
3.0,6.0,Swamp Sparrow,0.7742,   1 PAM2_20230304_160000.wav
42.0,45.0,Swamp Sparrow,0.3455,   1 PAM2_20230304_160000.wav
42.0,45.0,White Wagtail,0.1647,   1 PAM2_20230304_160000.wav
45.0,48.0,Swamp Sparrow,0.6515,   1 PAM2_20230304_160000.wav
45.0,48.0,White Wagtail,0.3399,   1 PAM2_20230304_160000.wav
48.0,51.0,White Wagtail,0.3062,   1 PAM2_20230304_160000.wav
51.0,54.0,Gray Wagtail,0.2984,   1 PAM2_20230304_160000.wav
51.0,54.0,Swamp Sparrow,0.1602,   1 PAM2_20230304_160000.wav
54.0,57.0,Solitary Sandpiper,0.1223,   1 PAM2_20230304_160000.wav
57.0,60.0,Swamp Sparrow,0.5601,   1 PAM2_20230304_160000.wav
6.0,9.0,Swamp Sparrow,0.9623,   1 PAM2_20230304_160000.wav
9.0,12.0,Swamp Sparrow,0.9161,   1 PAM2_20230304_160000.wav
24.0,27.0,White-crowned Sparrow,0.1037,   1 PAM2_20230304_161000.wav
27.0,30.0,Great Horned Owl,0.1244,   1 PAM2_20230304_161000.wav
27.0,30.0,White-crowned Sparrow,0.2625,   1 PAM2_20230304_161000.wav
33.0,36.0,White-crowned Sparrow,0.1881,   1 PAM2_20230304_161000.wav
57.0,60.0,White-crowned Sparrow,0.2877,   1 PAM2_20230304_161000.wav
18.0,21.0,Crested Tit,0.1816,   1 PAM2_20230304_162000.wav
21.0,24.0,Long-billed Gnatwren,0.1118,   1 PAM2_20230304_162000.wav
6.0,9.0,White-crowned Sparrow,0.2090,   1 PAM2_20230304_162000.wav
57.0,60.0,American Crow,0.2511,   1 PAM2_20230304_163000.wav
6.0,9.0,Ruby-throated Hummingbird,0.1669,   1 PAM2_20230304_163000.wav
0,3.0,Spring Peeper,0.4033,   1 PAM2_20230304_164000.wav
12.0,15.0,Ruddy-capped Nightingale-Thrush,0.1209,   1 PAM2_20230304_164000.wav
12.0,15.0,Varied Thrush,0.1453,   1 PAM2_20230304_164000.wav
3.0,6.0,Black-headed Nightingale-Thrush,0.1433,   1 PAM2_20230304_164000.wav
3.0,6.0,Ruddy-capped Nightingale-Thrush,0.1550,   1 PAM2_20230304_164000.wav
45.0,48.0,White-crowned Sparrow,0.1069,   1 PAM2_20230304_164000.wav
30.0,33.0,White-crowned Sparrow,0.1092,   1 PAM2_20230304_165000.wav
36.0,39.0,White-crowned Sparrow,0.1613,   1 PAM2_20230304_165000.wav
54.0,57.0,White-crowned Sparrow,0.1202,   1 PAM2_20230304_165000.wav
9.0,12.0,White-crowned Sparrow,0.2135,   1 PAM2_20230304_165000.wav
0,3.0,Eastern Narrow-mouthed Toad,0.4371,   1 PAM2_20230304_170000.wav
